timestamp,report_month,report_year,jurisdiction,offender_profiles,arrestee,forensic_profiles,ndis_labs,investigations_aided,capture_date,capture_year
20040205184438,,,Army,1154,0,970,1,71,2004-02-05 18:44:38,2004
20040205185312,,,Arizona Stats Arizona,17598,0,2064,7,235,2004-02-05 18:53:12,2004
20040205185853,,,California Stats California,148692,0,3743,15,99,2004-02-05 18:58:53,2004
20040205190443,,,Colorado Stats Colorado,25360,0,567,3,56,2004-02-05 19:04:43,2004
20040205191456,,,Lab,213,0,1585,3,146,2004-02-05 19:14:56,2004
20040205192350,,,Delaware Stats Delaware,1620,0,73,1,0,2004-02-05 19:23:50,2004
20040205193056,,,Florida Stats Florida,169481,0,5160,9,1813,2004-02-05 19:30:56,2004
20040205193227,,,Georgia Stats Georgia,76827,0,3164,2,358,2004-02-05 19:32:27,2004
20040205194025,,,Hawaii Stats Hawaii,0,0,9,1,0,2004-02-05 19:40:25,2004
20040205194412,,,Iowa Stats Iowa,3312,0,510,1,5,2004-02-05 19:44:12,2004
20040205195304,,,Idaho Stats Idaho,2563,0,63,1,4,2004-02-05 19:53:04,2004
20040205195840,,,Illinois Stats Illinois,29025,0,6073,9,895,2004-02-05 19:58:40,2004
20040205200021,,,Indiana Stats Indiana,30442,0,545,3,252,2004-02-05 20:00:21,2004
20040205200939,,,Kansas Stats Kansas,9771,0,645,5,5,2004-02-05 20:09:39,2004
20040205202731,,,Massachusetts Stats Massachusetts,15535,0,776,2,138,2004-02-05 20:27:31,2004
20040206042059,,,Maryland Stats Maryland,16836,0,857,5,100,2004-02-06 04:20:59,2004
20040206043104,,,Michigan Stats Michigan,38024,0,2091,3,275,2004-02-06 04:31:04,2004
20040206043559,,,Minnesota Stats Minnesota,13455,0,1626,1,120,2004-02-06 04:35:59,2004
20040206043910,,,Missouri Stats Missouri,25062,0,2449,4,278,2004-02-06 04:39:10,2004
20040206044203,,,Mississippi Stats Mississippi,0,0,0,0,0,2004-02-06 04:42:03,2004
20040220070532,,,North Dakota Stats North Dakota,921,0,6,1,0,2004-02-20 07:05:32,2004
20040220071533,,,New Jersey Stats New Jersey,11189,0,1185,1,62,2004-02-20 07:15:33,2004
20040220071701,,,Mexico Stats New Mexico,22969,0,399,3,122,2004-02-20 07:17:01,2004
20040220072055,,,Nevada Stats Nevada,5651,0,667,2,51,2004-02-20 07:20:55,2004
20040220072533,,,Ohio Stats Ohio,31939,0,3257,10,464,2004-02-20 07:25:33,2004
20040220073138,,,Oregon Stats Oregon,51797,0,1486,1,217,2004-02-20 07:31:38,2004
20040220073557,,,Pennsylvania Stats Pennsylvania,17937,0,2013,3,190,2004-02-20 07:35:57,2004
20040220073920,,,South Carolina Stats South Carolina,23640,0,662,1,75,2004-02-20 07:39:20,2004
20040220074342,,,South Dakota Stats South Dakota,1749,0,33,1,0,2004-02-20 07:43:42,2004
20040220074523,,,Tennessee Stats Tennessee,42895,0,1034,3,65,2004-02-20 07:45:23,2004
20040220074816,,,Texas Stats Texas,158934,0,5275,16,440,2004-02-20 07:48:16,2004
20040220074952,,,Utah Stats Utah,4060,0,210,1,17,2004-02-20 07:49:52,2004
20040220094952,,,Virginia Stats Virginia,162860,0,2554,4,1576,2004-02-20 09:49:52,2004
20040220095226,,,Vermont Stats Vermont,829,0,8,1,0,2004-02-20 09:52:26,2004
20040220095654,,,Washington State Stats Washington,34840,0,538,4,101,2004-02-20 09:56:54,2004
20040220100146,,,Wisconsin Stats Wisconsin,66263,0,1676,2,286,2004-02-20 10:01:46,2004
20040220100306,,,West Virginia Stats West Virginia,1118,0,10,1,2,2004-02-20 10:03:06,2004
20040220100617,,,Wyoming Stats Wyoming,5024,0,4,1,4,2004-02-20 10:06:17,2004
20040406121808,,,Alaska Stats Alaska,3177,0,154,1,49,2004-04-06 12:18:08,2004
20040406122411,,,Michigan Stats Michigan,66956,0,2411,4,286,2004-04-06 12:24:11,2004
20040406122535,,,Alabama Stats Alabama,16656,0,10,3,434,2004-04-06 12:25:35,2004
20040406122539,,,Minnesota Stats Minnesota,13532,0,1777,2,133,2004-04-06 12:25:39,2004
20040406122738,,,Virginia Stats Virginia,181769,0,3060,4,1773,2004-04-06 12:27:38,2004
20040406123302,,,Missouri Stats Missouri,25413,0,2592,4,329,2004-04-06 12:33:02,2004
20040406123331,,,Arkansas Stats Arkansas,15160,0,381,1,39,2004-04-06 12:33:31,2004
20040406123457,,,Vermont Stats Vermont,829,0,18,1,0,2004-04-06 12:34:57,2004
20040406123635,,,Army,1241,0,991,1,19,2004-04-06 12:36:35,2004
20040406123730,,,Washington State Stats Washington,47254,0,629,4,136,2004-04-06 12:37:30,2004
20040406123944,,,Mississippi Stats Mississippi,0,0,0,0,0,2004-04-06 12:39:44,2004
20040406124554,,,Arizona Stats Arizona,18815,0,2207,7,256,2004-04-06 12:45:54,2004
20040406124703,,,Wisconsin Stats Wisconsin,72508,0,1842,2,364,2004-04-06 12:47:03,2004
20040406124728,,,California Stats California,161952,0,4477,15,785,2004-04-06 12:47:28,2004
20040406125054,,,West Virginia Stats West Virginia,3180,0,44,1,2,2004-04-06 12:50:54,2004
20040406125155,,,North Carolina Stats North Carolina,35961,0,1303,2,156,2004-04-06 12:51:55,2004
20040406130429,,,Nebraska Stats Nebraska,2126,0,166,1,7,2004-04-06 13:04:29,2004
20040416013331,,,New Hampshire Stats New Hampshire,28,0,58,1,3,2004-04-16 01:33:31,2004
20040416013527,,,Lab,309,0,1634,3,41,2004-04-16 01:35:27,2004
20040416013823,,,Delaware Stats Delaware,1620,0,75,1,1,2004-04-16 01:38:23,2004
20040416014202,,,New Jersey Stats New Jersey,11338,0,1369,1,85,2004-04-16 01:42:02,2004
20040416014423,,,Florida Stats Florida,175785,0,5897,9,2240,2004-04-16 01:44:23,2004
20040416014428,,,Mexico Stats New Mexico,23055,0,635,3,303,2004-04-16 01:44:28,2004
20040416015210,,,Georgia Stats Georgia,78456,0,3290,2,461,2004-04-16 01:52:10,2004
20040416015356,,,New York Stats New York,121699,0,11124,9,3850,2004-04-16 01:53:56,2004
20040416015534,,,Hawaii Stats Hawaii,0,0,13,1,1,2004-04-16 01:55:34,2004
20040416020011,,,Ohio Stats Ohio,30226,0,3951,10,533,2004-04-16 02:00:11,2004
20040416020111,,,Iowa Stats Iowa,3390,0,590,1,22,2004-04-16 02:01:11,2004
20040416020600,,,Idaho Stats Idaho,2563,0,79,1,4,2004-04-16 02:06:00,2004
20040416020635,,,Oklahoma Stats Oklahoma,18086,0,201,3,15,2004-04-16 02:06:35,2004
20040416020931,,,Illinois Stats Illinois,34984,0,6783,9,997,2004-04-16 02:09:31,2004
20040416021129,,,Oregon Stats Oregon,51816,0,1781,1,372,2004-04-16 02:11:29,2004
20040416021652,,,Indiana Stats Indiana,31215,0,774,3,275,2004-04-16 02:16:52,2004
20040416021956,,,Kansas Stats Kansas,8842,0,789,5,54,2004-04-16 02:19:56,2004
20040416022721,,,Kentucky Stats Kentucky,3770,0,901,1,59,2004-04-16 02:27:21,2004
20040416022831,,,Rhode Island Stats Rhode Island,324,0,23,1,0,2004-04-16 02:28:31,2004
20040416023339,,,South Carolina Stats South Carolina,23726,0,772,1,73,2004-04-16 02:33:39,2004
20040416023902,,,Massachusetts Stats Massachusetts,15536,0,960,2,361,2004-04-16 02:39:02,2004
20040416024014,,,South Dakota Stats South Dakota,1749,0,44,1,0,2004-04-16 02:40:14,2004
20040416024459,,,Maryland Stats Maryland,16926,0,1074,5,119,2004-04-16 02:44:59,2004
20040416024807,,,Tennessee Stats Tennessee,48260,0,1112,3,60,2004-04-16 02:48:07,2004
20040416024859,,,Texas Stats Texas,168040,0,5703,16,565,2004-04-16 02:48:59,2004
20040416025310,,,Maine Stats Maine,3337,0,602,1,51,2004-04-16 02:53:10,2004
20040605145558,,,Nevada Stats Nevada,5651,0,768,2,101,2004-06-05 14:55:58,2004
20040605150034,,,Connecticut Stats Connecticut,5914,0,569,1,95,2004-06-05 15:00:34,2004
20040605150404,,,New York Stats New York,123002,0,11321,9,3931,2004-06-05 15:04:04,2004
20040605151450,,,Oklahoma Stats Oklahoma,20207,0,285,3,15,2004-06-05 15:14:50,2004
20040605153348,,,Rhode Island Stats Rhode Island,324,0,23,1,0,2004-06-05 15:33:48,2004
20040605160457,,,Utah Stats Utah,4229,0,237,1,20,2004-06-05 16:04:57,2004
20040605160606,,,Kentucky Stats Kentucky,3771,0,925,1,62,2004-06-05 16:06:06,2004
20040605161254,,,Louisiana Stats Louisiana,8936,0,1344,4,325,2004-06-05 16:12:54,2004
20040605163023,,,Maine Stats Maine,3337,0,610,1,51,2004-06-05 16:30:23,2004
20040605164259,,,Wyoming Stats Wyoming,5024,0,4,1,5,2004-06-05 16:42:59,2004
20040605170613,,,Montana Stats Montana,2278,0,50,1,8,2004-06-05 17:06:13,2004
20040605171248,,,North Carolina Stats North Carolina,35961,0,1346,2,159,2004-06-05 17:12:48,2004
20040605171524,,,North Dakota Stats North Dakota,992,0,7,1,2,2004-06-05 17:15:24,2004
20040605172241,,,Nebraska Stats Nebraska,2103,0,183,1,7,2004-06-05 17:22:41,2004
20040605173027,,,New Hampshire Stats New Hampshire,36,0,59,1,3,2004-06-05 17:30:27,2004
20040627062902,,,Colorado Stats Colorado,28093,0,760,4,62,2004-06-27 06:29:02,2004
20040707115539,,,Connecticut Stats Connecticut,5914,0,569,1,95,2004-07-07 11:55:39,2004
20040707115624,,,Montana Stats Montana,2278,0,50,1,8,2004-07-07 11:56:24,2004
20040707115649,,,Louisiana Stats Louisiana,8936,0,1344,4,325,2004-07-07 11:56:49,2004
20050105155841,,,Georgia Stats Georgia,86020,0,3247,2,487,2005-01-05 15:58:41,2005
20050105155846,,,Rhode Island Stats Rhode Island,399,0,28,1,0,2005-01-05 15:58:46,2005
20050105155850,,,Delaware Stats Delaware,1620,0,88,1,1,2005-01-05 15:58:50,2005
20050105155852,,,Iowa Stats Iowa,3705,0,838,1,39,2005-01-05 15:58:52,2005
20050105155855,,,Nebraska Stats Nebraska,2224,0,258,1,9,2005-01-05 15:58:55,2005
20050105155900,,,Ohio Stats Ohio,53609,0,5384,10,1023,2005-01-05 15:59:00,2005
20050105155903,,,South Dakota Stats South Dakota,1726,0,55,1,0,2005-01-05 15:59:03,2005
20050105155907,,,Wisconsin Stats Wisconsin,74251,0,2064,2,502,2005-01-05 15:59:07,2005
20050105155912,,,Indiana Stats Indiana,33069,0,1113,3,391,2005-01-05 15:59:12,2005
20050105155919,,,Mexico Stats New Mexico,23633,0,787,3,398,2005-01-05 15:59:19,2005
20050105155925,,,North Carolina Stats North Carolina,34850,0,1143,2,186,2005-01-05 15:59:25,2005
20050105155927,,,Oregon Stats Oregon,53983,0,2172,1,513,2005-01-05 15:59:27,2005
20050105155930,,,Pennsylvania Stats Pennsylvania,42418,0,2277,4,475,2005-01-05 15:59:30,2005
20050105155933,,,Army,1580,0,563,1,20,2005-01-05 15:59:33,2005
20050105155936,,,Connecticut Stats Connecticut,6275,0,772,1,147,2005-01-05 15:59:36,2005
20050105155940,,,Maryland Stats Maryland,20303,0,1549,6,226,2005-01-05 15:59:40,2005
20050105155944,,,Minnesota Stats Minnesota,21006,0,1606,2,208,2005-01-05 15:59:44,2005
20050105155951,,,California Stats California,230665,0,6554,17,848,2005-01-05 15:59:51,2005
20050105155955,,,New Hampshire Stats New Hampshire,131,0,104,1,7,2005-01-05 15:59:55,2005
20050105160000,,,Kentucky Stats Kentucky,4253,0,876,1,98,2005-01-05 16:00:00,2005
20050105160007,,,Maine Stats Maine,3406,0,745,1,51,2005-01-05 16:00:07,2005
